검색조건
대출기간,2023-05-01 ~ 2023-05-19
성별,남성
연령,40대
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2023-05-20
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"129","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","3","9791196025847","74910","911","87",
"129","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","4","9791196025861","74910","911","87",
"139","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","4","9788937848247","74830","833.6","86",
"139","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","2","9788950974329","74900","980.2","86",
"139","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","19","9788950994594","74900","980.2","86",
"139","(전설의 모험왕) 엉덩이 댄디 :the young","원작·감수: 트롤 ;옮긴이: 김정화","미래엔","2021","1","9791164137503","77830","830","86",
"139","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","16","9791165382841","74910","911","86",
"139","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","7","9791188874149","74910","911","86",
"139","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","1","9791190409124","74810","813.7","86",
"146","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","77810","813.7","85",
"146","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","5","9788950978358","74900","980.2","85",
"146","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","6","9788950979317","74900","980.2","85",
"146","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","2","9791164137879","77810","691","85",
"146","거인의 어깨 =홍진채 해설로 통찰하는 주식 대가들의 투자법.Shoulders of giants ","홍진채 지음","콘텐츠그룹 포레스트","2022","1","9791192625133","03320","327.856","85",
"146","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","1","9791197226199","77820","823.5","85",
